roadID,roadName,roadType,timestamp,user,version,wayID
R0,JAC大道,tertiary,2017-07-30T14:05:10Z,Virgil Guo,3,196818307
R1,一环宁国路桥,secondary,2017-08-06T06:21:38Z,Virgil Guo,5,267932978
R2,一环马鞍山路桥,trunk,2017-09-26T10:34:12Z,Austin Zhu,6,305877765
R3,万佛山路,tertiary,2018-02-12T11:55:21Z,Seandebasti,9,217633715
R4,万佛湖路,tertiary,2016-09-03T14:38:29Z,Virgil Guo,4,217646832
R5,万场路,tertiary,2017-12-31T19:51:51Z,Virgil Guo,1,550168181
R6,万年埠路,tertiary,2018-03-21T23:56:22Z,Virgil Guo,10,367395996
R7,万泉河路,tertiary,2017-12-27T22:21:57Z,Virgil Guo,12,319977944
R8,万泉河路,tertiary,2015-01-02T10:25:30Z,peisen_wang,1,319990819
R9,万泽路,tertiary,2016-02-10T10:34:29Z,Virgil Guo,6,192027387
R10,三国城路,secondary,2017-09-10T15:23:04Z,Virgil Guo,9,197130982
R11,三官塘西路,tertiary,2017-07-11T15:11:30Z,Virgil Guo,3,404878902
R12,三河路,primary,2017-09-16T05:45:15Z,Virgil Guo,5,298612717
R13,三河路,secondary,2017-08-29T14:10:08Z,Virgil Guo,20,215624827
R14,三河路,tertiary,2015-08-27T16:53:34Z,Virgil Guo,8,115316762
R15,三角线桥,trunk,2017-09-26T10:34:09Z,Austin Zhu,5,304254648
R16,上海路,trunk,2017-12-31T19:52:03Z,Virgil Guo,4,474873055
R17,东一环裕溪路高架,trunk,2017-09-28T04:48:59Z,Austin Zhu,8,306254066
R18,东一环路,trunk,2017-09-26T10:34:28Z,Austin Zhu,2,513242241
R19,东二环路,trunk,2018-01-20T04:29:37Z,Virgil Guo,16,305858863
R20,东二环路,trunk,2017-09-26T12:45:32Z,Austin Zhu,3,512999877
R21,东二环路高架,trunk,2017-09-28T04:49:08Z,Austin Zhu,5,512442940
R22,东方大道,primary,2018-03-15T04:45:05Z,Virgil Guo,16,305857684
R23,东方大道,primary,2018-01-28T04:04:53Z,hanchao,3,197128479
R24,东至路,secondary,2015-07-06T13:31:31Z,Virgil Guo,4,290150416
R25,东至路,tertiary,2018-02-12T02:24:04Z,Seandebasti,2,524786972
R26,东至路,tertiary,2017-09-14T23:42:43Z,Virgil Guo,1,524786966
R27,东落客平台,primary_link,2017-08-04T12:55:13Z,Virgil Guo,5,397738675
R28,东风大道,primary,2015-08-29T06:52:08Z,Virgil Guo,1,368102040
R29,严刘路,secondary,2018-03-24T02:36:29Z,Virgil Guo,2,517718234
R30,中山路,secondary,2018-03-21T23:56:25Z,Virgil Guo,2,549421612
R31,中山路,secondary,2017-10-28T07:46:36Z,Austin Zhu,3,319978712
R32,中山路桥,secondary,2017-10-28T07:46:36Z,Austin Zhu,5,319978711
R33,中心街,tertiary,2015-09-03T08:39:31Z,Virgil Guo,4,306262861
R34,中菜市路,tertiary,2018-04-10T22:19:23Z,Virgil Guo,3,422762877
R35,临泉东路,primary,2017-09-26T11:08:55Z,Austin Zhu,2,512999881
R36,临泉路,primary,2017-10-28T23:51:55Z,Virgil Guo,18,303058816
R37,临泉路,primary,2017-09-26T11:08:57Z,Austin Zhu,2,513948106
R38,临泉路,trunk,2018-02-22T04:14:48Z,Virgil Guo,10,226604306
R39,临泉路,trunk,2017-10-30T02:52:00Z,Austin Zhu,9,325354954
R40,临泉路跨二十埠河桥,primary,2017-09-26T11:08:39Z,Austin Zhu,6,303058821
R41,丹霞西路,tertiary,2017-08-03T05:56:28Z,Virgil Guo,1,512460891
R42,丹霞路,tertiary,2017-08-03T05:56:28Z,Virgil Guo,1,512460887
R43,丽水路,tertiary,2017-08-02T14:17:37Z,Virgil Guo,11,196817528
R44,义和商业街,tertiary,2015-09-03T08:39:32Z,Virgil Guo,2,306263538
R45,乐平路,tertiary,2017-09-16T05:45:07Z,Virgil Guo,1,525086025
R46,乐水路,tertiary,2017-08-02T07:58:08Z,Virgil Guo,2,367857874
R47,九华山路,tertiary,2017-11-16T22:06:20Z,Virgil Guo,15,93291695
R48,九顶山路,tertiary,2018-01-28T04:04:52Z,hanchao,9,197128469
R49,九龙路,tertiary,2018-02-12T02:24:06Z,Seandebasti,9,162533676
R50,习友南路,secondary,2016-09-03T14:38:29Z,Virgil Guo,28,24568427
R51,习友路,primary,2018-02-12T11:55:27Z,Seandebasti,19,303054714
R52,习友路,primary,2017-09-26T12:45:38Z,Austin Zhu,2,526554837
R53,书箱路,tertiary,2018-03-22T02:05:10Z,Virgil Guo,4,376674871
R54,乳泉路,secondary,2017-07-11T15:32:20Z,Virgil Guo,1,506741020
R55,云南路,tertiary,2017-02-15T18:18:35Z,ff5722,5,367829393
R56,云海路,tertiary,2017-02-18T16:12:32Z,jamesks,4,197111910
R57,云谷路,primary,2018-04-03T00:57:27Z,Virgil Guo,3,302362871
R58,云谷路,primary,2018-02-12T15:30:09Z,Seandebasti,4,302362873
R59,云谷路,primary,2016-03-17T22:20:23Z,RichRico,5,302362870
R60,五河路,tertiary,2017-07-29T15:09:30Z,Virgil Guo,3,334120710
R61,井岗路,secondary,2017-08-02T13:38:21Z,Virgil Guo,4,305872547
R62,亳州路,secondary,2018-03-19T07:56:17Z,Newsta,20,24783229
R63,亳州路,secondary,2017-09-21T22:13:18Z,Virgil Guo,6,304258410
R64,亳州路桥,secondary,2016-01-30T06:06:13Z,自由分享,4,266508164
R65,人民路,secondary,2017-09-16T05:45:13Z,Virgil Guo,7,217646567
R66,仙人路,tertiary,2018-03-22T02:05:09Z,Virgil Guo,3,88779411
R67,仙霞路,secondary,2017-09-16T05:45:17Z,Virgil Guo,4,298641872
R68,仙霞路,tertiary,2017-09-16T05:45:06Z,Virgil Guo,1,525086021
R69,仰桥路,secondary,2017-08-02T13:38:22Z,Virgil Guo,9,305873086
R70,仰桥路,secondary,2015-01-15T17:01:04Z,Rub21,4,202557192
R71,休宁路,secondary,2017-09-21T18:44:04Z,Virgil Guo,23,24568485
R72,休宁路,tertiary,2018-01-20T23:11:31Z,Virgil Guo,1,554571841
R73,体育路,primary,2017-08-07T05:37:11Z,Virgil Guo,5,265032067
R74,体育路,tertiary,2017-09-16T05:45:14Z,Virgil Guo,4,298610769
R75,佛子岭路,tertiary,2018-02-19T23:22:35Z,Virgil Guo,6,115306523
R76,佛掌南路,secondary,2015-08-27T14:58:56Z,Virgil Guo,1,367829390
